具体地点,职位名称,工资,福利tag,公司名称,公司标签,其他标签,岗位要求,是否为推广,会员商家,发布时间,抓取时间,平台
北京·通州区·宋庄,普工技工,4.5-7.5K,工作餐免费月结工资4人间宿舍三班倒缴纳商保,北京天启瑞华文化传媒,广告/公关/会展|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:05,boss
北京·密云区·密云县县城,普工/操作工,5-6K,三餐免费缴纳社保坐班月结工资两班倒读写26个字母住宿免费,昌裕劳务服务,人力资源服务|100-499人,,经验不限|学历不限,,,,2025/02/19 10:37:05,boss
北京·海淀区·上地,普工/操作工,5-6K,五险一金，定期体检，加班补助，节日福利，全勤奖，年终奖，带薪年假，补充医疗保险，员工旅游，通讯补贴，股票期权，交通补助,卡姆福,其他行业|未融资|20-99人,,1年以内|中专/中技,,,,2025/02/19 10:37:05,boss
北京,招聘普工,6-7K,,北京泰富兴诚商贸,批发/零售|100-499人,,经验不限|学历不限,,,,2025/02/19 10:37:05,boss
北京·朝阳区·双桥,管吃住招广告普工及学徒,5-6K,周末单休加班费带薪年假包吃包住绩效奖金夜班补助节假日加班费普工,双龙堂喷绘,广告营销|未融资|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:05,boss
北京·大兴区·亦庄,普通工人,5-6K,,北京畅联云网络科技,日化|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:05,boss
北京·通州区·马驹桥,连华科技招聘普工/操作工,150-160元/天,"普工兼职
五险一金，年终奖，定期体检，员工旅游，带薪年假，全勤奖，通讯补贴，补充医疗保险，节日福利，餐补，交通补助，零食下午茶，防暑降温",连华科技,环保|不需要融资|100-499人,,经验不限|学历不限,,,,2025/02/19 10:37:05,boss
北京·朝阳区·劲松,普工/操作工,4-6K,"珠串挑选珠串抛光
年终奖，加班补助，定期体检，股票期权，五险一金，带薪年假，员工旅游，零食下午茶，餐补",菩悦东方,工艺品/收藏品|未融资|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:06,boss
北京·通州区·次渠,普工，清洗油烟机,7-8K,能接受夜班,浩可环保,环保|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:06,boss
北京·海淀区·中关村,普工/操作工,5-7K,"月结工资缴纳商保月休四天不穿无尘服三餐免费住宿免费水电免费
补充医疗保险，加班补助，住房补贴，年终奖，带薪年假，全勤奖，节日福利，餐补",聚优佳信,广告/公关/会展|不需要融资|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:06,boss
北京·房山区·良乡,普工/操作工,4-4.5K,三餐免费2人间宿舍车间流水线长白班月结工资,华盛祥,物流/仓储|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:06,boss
北京·昌平区·霍营,普工/操作工,4-5.5K,住宿免费有空调水电免费做六休一月休四天月结工资,北京英坤嘉业科技,计算机硬件|0-20人,,经验不限|高中,,,,2025/02/19 10:37:06,boss
北京,食品厂车间普工,5-6K,三餐免费厂内食堂4人间宿舍住宿免费夫妻房缴纳社保恒温车间车间流水线需穿无尘服长白班月结工资,北京稻味庄食品有...,食品/饮料/烟酒|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:06,boss
北京·昌平区·马池口,食品厂普工,4-5.5K,三餐免费住宿免费缴纳社保车间流水线月休四天月结工资,港田,原材料及加工/模具|20-99人,,1-3年|高中,,,,2025/02/19 10:37:06,boss
北京·怀柔区·桥梓,普工/操作工,2-7K,三餐免费厂内食堂住宿免费有WIFI水电免费不看显微镜长白班月结工资免体检包进,北京硕奥腾达装饰材料,批发/零售|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:06,boss
北京·昌平区·小汤山,招聘普工,6-7.9K,三餐免费住宿免费,诺洁天下,家政服务|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:06,boss
北京·顺义区·李桥,服装厂普工,4.4-4.5K,,鸿正兴,其他生活服务|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:06,boss
北京·怀柔区·雁栖,普工/操作工,5.5-6.5K,厂内食堂工作餐免费缴纳社保车间流水线两班倒月结工资体检免费,华北富田,印刷/包装/造纸|100-499人,,经验不限|学历不限,,,,2025/02/19 10:37:06,boss
北京·石景山区·广宁,普工/操作工,5-7.5K,"缴纳社保不穿无尘服恒温车间车间流水线月结工资
五险一金，全勤奖",痕玉技艺,工艺品/收藏品|未融资|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:06,boss
北京·大兴区·亦庄,普工/操作工,4-5K,不看显微镜不穿无尘服坐班做六休一月结工资,富瑞诚测,仪器仪表/工业自动化|0-20人,,1-3年|初中及以下,,,,2025/02/19 10:37:06,boss
北京·昌平区·昌平镇,普工长期工,5-6K,做六休一长白班三餐免费具备售卖收银经营月结工资月休四天,北京徽徽徽丫小吃...,餐饮|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:06,boss
