平台,发布时间,抓取时间,Scraped_date,具体地点,工作地址,District,工资,Pay_time,Wage_average,Wage_min,Wage_max,职位名称,福利tag,其他标签,职位描述,Category,岗位要求,学历限制,经验限制,公司名称,公司标签,是否为推广,会员商家,浏览人数,申请人数,招聘人数,公司人数,公司介绍,公司行业,认证类别,公司招聘职位总数,公司类别,bonus.perform,bonus.dividend,bonus.commission,bonus.year,bonus.quarter,bonus.month,bonus.week,bonus.other,holiday.overtime-pay,holiday.pay,holiday.legal,leave.medical,leave.wedding,leave.pregnancy,leave.hazard,leave.ocuppied,leave.funeral,social.insurance.commercial,social.insurance.only.medical,social.insurance.only.pension,social.insurance.only.unemploy,social.insurance.only.workinjury,social.insurance.only.maternity,social.insurance.five,social.insurance.sixth,social.insurance.unspecified,social.fund.housing,accommodation.aid,accommodation.included,accommodation.dorm,meal.aid,meal.included,meal.cafe,transport.aid,transport.shuttle,transport.included,training,medical.physical,promotion,worklife.flexible,worklife.snack,worklife.less-overtime,worklife.altdaysoff,compensation.heat,compensation.cold,compensation.overtime,compensation.night,compensation.comm,compensation.free-uniform,education,experience,company_size
赶集,,2025/3/9 17:21,2025/3/9,海淀 | 西二旗,北京海淀北京市昌平区Y471,昌平,4500-6000元/月,月结,5250.0,4500.0,6000.0,纯坐夜班保安六小时吃自助双休,房补|话补|饭补|加班补助|交通补助|周末双休|年底双薪|包吃|包住|五险一金|,,"有意者直接投简历，我会立马联系您，岗位很多当天安排！郑重声明：此职位直属公司内部直招，非中介机构；无任何费用，面试当天安排工作，包食宿。签订国家正式合同。因公司业务拓展，特面向社会公开。一、应聘条件：1、年龄18-45周岁；身高168cm以上,有无经验均可；2、无犯罪前科记录，，身体健康；3、退伍军人优先，应届生，农村城镇待业青年，下岗职工。二、工作待遇1、每天工作8小时、12小时不等（不同项目，不同工作时间）2、免费提供食宿，四季衣服，被褥，劳保用品，无线网，防暑降温食品及用品。3、工作满一年可享受带薪休假，凡在我公司工作10天者可以预支工资。三、职位描述：1、工资待遇：8小时或者12小时综合工资在4000-65002、基本岗是项目急缺岗位。根据个人岗位不同月收入不等。3、每月25号之前发放工资，绝不拖欠。4、工作能力强，个人能力强的的员工可提升管理层班长、队长。在标准工资上加薪500-1500元，奖金+补助，综合工资4500以上。5、表现优秀的队员不定期发放奖金，200元。6、公司项目多，不适应随时调换岗位。新项目诚聘有能力，有经验的班队长，有意者前来公司面试。五、入职手续：1、持本人身份有效证件为新员工签订正规劳动合同。2、公司承诺入职到离职不收取任何费用及押金，以上职务为公司直招当天办理入职安排食宿，如遇没钱买生活用品的队员，入职7后可预支生活费。友情提示现在招工单位比较多，但其中有很多中介公司，找工作的亲人们，不要相信高工资，收取费用的单位，高工资就是为了吸取你的眼球，一定要擦亮眼睛找正规，有保障的公司，不要被高薪迷惑哦，谨防上当受骗，天下没有不劳而获的东西，脚踏实地的工作才会有收获。",Security,经验不限 · 学历不限 · 招若干人,不限,不限,京卫圣明保总特保公司,,推广广告,,,,招若干人,1000人以上 ,"北京京卫圣明保安服务有限公司保总特公司,成立日期:2023年12月20日,创建于北京市,经营范围:许可项目：保安服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：物业管理；家政服务；专业保洁、清洗、消毒服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,企业注册地址:北京市昌平区北七家镇王府温馨公寓37号楼1层2;诚挚邀请您的加入！", 其他行业,"
                普通企业认证
              
                高级实名认证
              ",,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,6.0
赶集,,2025/3/9 17:21,2025/3/9,朝阳 | 松榆里,北京朝阳潘家园松榆里,朝阳,4500-5500元/月,月结,5000.0,4500.0,5500.0,公园清闲巡逻岗保安8小时吃自助四人间,房补|话补|饭补|加班补助|交通补助|周末双休|年底双薪|包吃|包住|五险一金|,,"一、应聘条件：1、年龄18-55周岁；身高165cm以上,有无经验均可；2、无犯罪前科记录，，身体健康；3、退伍军人优先，应届生，农村城镇待业青年，下岗职工。二、工作待遇1、每天工作8小时、12小时不等（不同项目，不同工作时间）2、免费提供食宿，四季衣服，被褥，劳保用品，无线网，防暑降温食品及用品。3、工作满一年可享受带薪休假，凡在我公司工作10天者可以预支工资。三、职位描述：1、工资待遇：8小时或者12小时综合工资在3500-60002、基本岗是项目急缺岗位。根据个人岗位不同月收入不等。3、每月25号之前发放工资，绝不拖欠。4、工作能力强，个人能力强的的员工可提升管理层班长、队长。在标准工资上加薪500-1500元，奖金+补助，综合工资4500以上。5、表现优秀的队员不定期发放奖金，200元。6、公司项目多，不适应随时调换岗位。新项目诚聘有能力，有经验的班队长，有意者前来公司面试。五、入职手续：1、持本人身份有效证件为新员工签订正规劳动合同。2、公司承诺入职到离职不收取任何费用及押金，以上职务为公司直招当天办理入职安排食宿，如遇没钱买生活用品的队员，入职7后可预支生活费。友情提示现在招工单位比较多，但其中有很多中介公司，找工作的亲人们，不要相信高当受骗，天下没有不劳而获的东西，脚踏实地的工作才会有收获",Security,经验不限 · 学历不限 · 招若干人,不限,不限,京卫圣明保总特保公司,,推广广告,,,,招若干人,1000人以上 ,"北京京卫圣明保安服务有限公司保总特公司,成立日期:2023年12月20日,创建于北京市,经营范围:许可项目：保安服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：物业管理；家政服务；专业保洁、清洗、消毒服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,企业注册地址:北京市昌平区北七家镇王府温馨公寓37号楼1层2;诚挚邀请您的加入！", 其他行业,"
                普通企业认证
              
                高级实名认证
              ",,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,6.0
赶集,,2025/3/9 17:21,2025/3/9,大兴 | 旧宫,北京大兴北京航天万源科技公司机械加工中心-东门,大兴,4500-5000元/月,月结,4750.0,4500.0,5000.0,周末双休/五险一金（销售专员）,周末双休|五险一金|,,"岗位职责：1、负责公司产品的销售及推广；2、根据市场营销计划，完成部门销售指标；3、开拓新市场,发展新客户,增加产品销售范围；5、负责销售区域内销售活动的策划和执行，完成销售任务；6、管理维护客户关系以及客户间的长期战略合作计划。任职资格：2、1-2年以上销售行业工作经验，业绩突出者优先；3、反应敏捷、表达能力强，具有较强的沟通能力及交际技巧，具有亲和力；4、具备一定的市场分析及判断能力，良好的客户服务意识；5、有责任心，能承受较大的工作压力；6、有团队协作精神，善于挑战。工作时间：早9晚6",Customer Service/Retail,3-5年 · 高中以上学历 · 招若干人,高中/中专/中技/职高/技校,3-5年,北京一对三服装有限公司,,推广广告,,,,招若干人,1-49人 ,老板使用58APP商家版发布该职位，招人的诚意大到无需描述，赶快来应聘吧。, 其他行业,"
                普通企业认证
              
                高级实名认证
              ",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,3.0,1.0
赶集,,2025/3/9 17:21,2025/3/9,北京,北京市石景山区石景山路三号,石景山,12000-20000元/月,月结,16000.0,12000.0,20000.0,月薪1W招25-45岁大专以上销售精英,周末双休|加班补助|,,中国人寿，国企大平台，让所有人可以以打工的方式实现创业的梦想福利待遇1、有责底薪8000-32000元月；2、入司即终身免费享受公司系统专业化培训，团队内部系统化的新人成长培训，可复制性极强，绩优批量复制；3、众鑫计划：正式菁英等人才引进方案，面试入围者，待遇更丰厚，单月高可享16万的津贴奖励4、入职员工公司给免费上高额医疗、意外人身寿险5、高额提成+公司各种出单奖励+实物奖励+现金奖励+各种国内外旅游6、工作时间：周一至周五早8:30-17:00，六日双休，法定节假日正常休任职资格1、年龄25-50周岁，特别优秀者可放宽；2、统招大专及以上学历，金融相关专业优先；3、品行端正、性格坚毅、勤奋好学、勇于坚持；4、具备良好的沟通协调技巧、敏锐快捷的市场反应能力；5、有知名第三方理财公司同等业绩与职位经验者优先；6、具有金融机构个人理财产品的销售工作经验或具有高端地产、高端会所销售经验的优先；7、具有良好的行业资源和客户资源者优先；8、有银行、证券、保险、基金等从业资格和理财师等资格证书者优先。岗位职责1、公司提供客户资源，为家庭与企业提供风险规划、财富管理与保全传承等综合金融专业顾问工作，业务范围包含：医疗险，养老年金险，养老社区，广发银行业务（信用卡，等存款类业务），财险（车险，雇主险，住房财险），业务广泛，丰富薪资构成，让收入多样化2、所属区域的产品宣传、推广和销售，完成销售任务指标；3、销售合同的签订、履行与管理等相关工作及协调处理各类市场问题；4、保持良好的心态和规范的行为，提升企业及其产品的美誉度和客户满意度。我们不缺人，我们需要的是人才！希望有追求有梦想的你加入我们队伍，实现梦想！欢迎优秀的您加入中国人寿！,Customer Service/Retail,经验不限 · 大专以上学历 · 招20人,大专,不限,中国人寿保险股份有限公司北京市石景山支公司,,推广广告,,,,招20人,1000人以上 ,"中国人寿保险股份有限公司北京市石景山支公司,成立日期:1998年03月27日,创建于北京市,企业注册地址:北京市石景山区石景山路3号403.405室;诚挚邀请您的加入！主营范围：人寿保险、健康保险、意外伤害保险等各类人身保险业务；人身保险的再保险业务；国家法律法规允许的或国务院批准的资金运用业务；各类人身保险服务咨询和代理业务；国家保险监管部门批准的其他业务。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。", 其他行业,"
                普通企业认证
              
                高级实名认证
              ",,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,6.0
赶集,,2025/3/9 17:21,2025/3/9,海淀 | 人民大学,北京海淀海淀黄庄地铁站,海淀,3500-6000元/月,月结,4750.0,3500.0,6000.0,公司直招急急急当天上岗保安,室内有暖气空调|吃住都在项目|周末双休|房补|话补|饭补|交通补助|五险一金|加班补助|年底双薪|包住|包吃|,,要求：无犯罪记录，体型匀称，秃顶，黄头发都用不了白班身高：173以上白班年龄：18-45岁工作性质：室内岗，着西装，站一休一，上够半个月以后，白班每周一天带薪休息。吃甲方餐厅自助餐住宿：石景山区，宿舍在三楼，洗澡、洗衣机免费提供，上班在西城区。上下班有专车接送，路程20-30分钟。（自备黑皮鞋、腰带）,Security,经验不限 · 学历不限 · 招10人,不限,不限,中盛华宇（北京）保安服务有限公司,,推广广告,,,,招10人,1000人以上 ,中盛华宇(北京)保安服务有限公司成立于2020年12月28日，注册地位于北京市石景山区古城大街(特钢公司厂内)北京国际汽车贸易服务园区F区26号五层512室，法定代表人为张武东。经营范围包括门卫、巡逻、守护。（市场主体依法自主选择经营项目，开展经营活动；门卫、巡逻、守护以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。, 其他行业,"
                普通企业认证
              
                高级实名认证
              ",,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,6.0
赶集,,2025/3/9 17:21,2025/3/9,朝阳 | 双井,北京朝阳乐成中心,朝阳,5000-6000元/月,月结,5500.0,5000.0,6000.0,【双井】吃住好5000聘保安,包吃|包住|,,"公司直招不收取任何费用，有意者可来面试工资每个月18到20号银行打卡包食宿，当天面试可以安排单位，安排食宿，广大求职者可以放心前来应聘。现在好多中介打着高薪的幌子以各种理由收费，请大家勿盲目相信高薪保安职位，整个北京保安行业，八小时包吃住工作制下，高工资都是在6000以下，十二小时工作制的，都在7000以下，超过这个需要谨慎核实！入职当天可安排吃住，没钱的队长会帮忙买吃饭洗漱用品，做满一个礼拜可预支工资，一个礼拜之内可随自己意愿调换单位直到满意，人性化管理。期待您的加入！公司规模强大，300多个单位，无论你想找什么样的单位，都能安排合适你的单位！工作单位有大厦，商场，写字楼，小区，银行，别墅区，酒店，医院，保安等等。酒店保安：4000到5000包食宿月休2到4天商场保安：4000到6000包食宿月休2到4天医院保安：4000到4500月休4天包食宿别墅区保安：12小时4000到5500包食宿小区保安:4500到5000一个月包食宿月休2到4天各个区域都有单位可就近分配工资真实，准时发放，绝不拖欠，不收取任何费用当天安排食宿，没有培训当天面试可安排直接上岗。有巡逻岗，普通岗，收费岗，坐岗，形象岗室内室外都有，可以自己选择,免费无线网，24小时热水。1:要求年龄18至55周岁，身高1.65以上，无前科，无纹身，有身份证。2:身高175以上，35岁以下晋升通道：公司量才而用有能力提升为班长、队长、项目经理，期待有识之士您的加入。3:带好本人的洗漱用品和随身行李，以及合法的二代身份证，服装被褥公司免费提供。4:公司规模6000多人，公司升职空间大，望广大朋友选择正规公司，保证你们的工资，跟你们提供一个良好的发展平台，才是重要的。",Security,经验不限 · 学历不限 · 招若干人,不限,不限,北京中安启胜保安服务有限公司,,,,,,招若干人,500-999人 ,北京中安启胜服务有限公司是国务院颁布实施《保安服务管理条例》以后，较早获得北京市保安行政许可，并由其直接监管的一家规模较大的正规保安服务企业。系中国保安协会会员单位，北京保安协会理事单位，注册资金1000万元。服务范围涉及门卫、巡逻、守护、安全技术防范服务等。2011年获得ISO9001国际质量体系，2012年成为太平戴维斯物业顾问（北京）有限公司长期合作伙伴，2013年被中国企业信用评级协会评为北京保安服务企业AA 诚信经营示范单位。 　　公司现有六部一室一处，即党支部、人力资源部、财务部、行政装备部、项目部、质检监察部、办公室、教育训练处。管理人员均具备大专以上学历，对保安行业有深刻的了解，管理能力强、专业素质高。 我公司拥有优秀的管理人才和高素质的保安队伍，现有高层管理人员130人，服务客户达150余家，保安从业人员4600余人，其中党员120人。承担了大型商场、写字楼、高档别墅及物业小区、星级酒店等企事业单位的保安服务。 　　公司始终坚持“情系保安员，满意在客户”的宗旨，“安全，客户至上”的原则，把“安全、优质”的服务作为让客户满意的高标准。按照“内强管理，外树形象。内拼服务，外创品牌”的方针，加强队伍管理，强化教育训练，稳定提升保安队伍的整体素质。以服务首都公安工作、服务首都社会安全、服务首都经济建设为己任，不断探索建立正规化、科学化、人性化的保安服务企业，全力以赴为维护首都和谐稳定做出积极贡献, 多元化集团,"
                普通企业认证
              
                高级实名认证
              ",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.0
赶集,,2025/3/9 17:21,2025/3/9,大兴 | 亦庄,北京大兴魏石路与西石路交叉口执法中心,大兴,3500-4000元/月,月结,3750.0,3500.0,4000.0,大兴礼贤巡逻保安保持住轻松自由,包吃|包住|,,应聘条件：身高165cm以上，年龄18--50周岁包吃住，，巡逻负责违章车辆停放轻松自由，可拿手机1.本公司招聘不收取任何费用及押金，不拖欠工资.2、请直接来电咨询，简历不能及时回复.3、可携带换洗衣服和身份证直接到公司报道面试.4、当天面试.当天上岗.当天安排食宿.,Security,经验不限 · 学历不限 · 招6人,不限,不限,北京杰诚安卫保安服务有限公司,,,,,,招6人,1000人以上 ,"北京杰诚安卫保安服务有限公司是一家从事保安服务,停车管理服务，物业管理等业务的公司，公司成立于2019年09月12日，注册资本为200万人民币。企业的经营范围为：门卫、巡逻、守护；物业管理；技术服务、技术开发、技术咨询、技术转让；机动车公共停车场服务；承办展览展示活动；销售社会公共安全设备、机械设备、服装；机械设备租赁；会议服务；企业管理；企业策划；市场调查。", 其他行业,"
                普通企业认证
              
                高级实名认证
              ",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,6.0
赶集,,2025/3/9 17:21,2025/3/9,北京,北京新华保险大厦,北京,4000-5000元/月,月结,4500.0,4000.0,5000.0,招机关坐岗保安吃食堂,管吃住带薪休假|包吃|包住|年底双薪|加班补助|,,郑重承诺:入职绝不收取任何费用、不训练、不用体检。可直接带行李到上班单位，当天安排食宿上班。刚来没钱的上班7天可以预支工资，绝不会在发工资前没有零用钱花。保安工作相当简单，要求不严，工作轻松不累。待着，休息时候都可以抽烟，不耽误上班岗上有人就行。薪资待遇：工资5000一个月，表现优异者可适当涨薪，夜班可以玩手机，工作轻松，轮着巡逻，6-8人间，有空调，，热水澡，有无线网岗位要求：身高165以上18-50岁以下，身体健康，身材匀称，无家族病史，吸毒历史等；岗位职责：主要负责巡查工作组负责防火防盗等安全巡视工作，发现携带违禁品及时制止，保证客户安全早八晚六，巡逻一小时，坐岗一小时，有意向可以直接投递简历或电话联系,Security,经验不限 · 学历不限 · 招20人,不限,不限,京安高保（北京）保安服务有限公司,,,,,,招20人,500-999人 ,京安高保（北京）保安服务有限公司是一家保安服务供应商，提供保安服务、物业管理、劳务派遣、安全检查服务、家政服务等。, 其他行业,"
                普通企业认证
              
                高级实名认证
              ",,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.0
赶集,,2025/3/9 17:20,2025/3/9,朝阳 | CBD,北京朝阳众秀大厦,朝阳,5000-6000元/月,月结,5500.0,5000.0,6000.0,大厦室内保安6K管三餐轻松,加班补助|交通补助|周末双休|年底双薪|包吃|包住|五险一金|,,公司直招，不是中介，不收取任何费用，工资每月25号银行打卡，工资准时，到月就发，绝不拖欠，当天面试就可以安排单位，安排食宿，服装被褥免费提供，免费无线网，空调，24小时热水。公司人性化管理，没钱的队长会帮忙买洗漱用品，做满一个礼拜可预支工资，广大求职者可以放心前来应聘。公司规模大，公司自己承包了300多个单位可供选择，无论你想找什么样的单位岗位都可以安排，北京各区域都有单位，也可以就近安排。工作单位有；大厦，商场，写字楼，小区，售楼部，酒店，公寓，园区，别墅小区，医院，公园，等保安单位。工作岗位有；坐岗，巡逻岗，形象岗，室内室外岗都有，可以自由选择。每月2到4天的带薪休息工作时间；8-12小时工资；每月3500至6500米不等，保安工资是根据身高年龄定工资，说出你的身高年龄，我会给你安排个您满意的工作。公司规模一万多人，升职空间大，望广大朋友选择正规公司，保证你们的工资，给你们提供一个良好的平台，才是重要的。,Security,经验不限 · 学历不限 · 招若干人,不限,不限,京卫圣明保总特保公司,,推广广告,,,,招若干人,1000人以上 ,"北京京卫圣明保安服务有限公司,成立日期:2015年07月27日,创建于北京市,企业注册地址:北京市昌平区北七家镇平西府村70号(供销社)5幢511", 人力资源服务,"
                普通企业认证
              
                高级实名认证
              ",,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,6.0
赶集,,2025/3/9 17:20,2025/3/9,大兴 | 同兴园,北京大兴天悦壹号-东1门,大兴,4500-6000元/月,月结,5250.0,4500.0,6000.0,高薪白班，夜班，门岗，巡逻保安岗位,包吃|包住|,,丰台高档小区站坐结合，坐岗时间多一些。年龄18-40岁，身高175以上白班巡逻：5000元白班门岗：6000元夜班巡逻：4500元夜班门岗：5000元白班，夜班，不倒班，12小时管两餐，管吃住，报道地址：北京市丰台区范家庄东路天悦壹号东门,Security,经验不限 · 学历不限 · 招10人,不限,不限,北京国锦保安服务有限公司北京文之豪分公司,,推广广告,,,,招10人,100-499人 ,"北京国锦保安服务有限公司北京文之豪分公司,成立日期:2023年07月12日,创建于北京市,经营范围:许可项目：保安服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：日用百货销售；日用品销售；服装服饰零售；眼镜销售（不含隐形眼镜）；鞋帽零售；第二类医疗器械销售；软件开发；物业管理；企业管理；企业管理咨询；社会经济咨询服务；会议及展览服务；专业保洁、清洗、消毒服务；停车场服务；专业开锁服务；非居住房地产租赁；园林绿化工程施工；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,企业注册地址:北京市房山区卓秀北街8号院6号楼2层205;诚挚邀请您的加入！", 其他行业,"
                普通企业认证
              
                高级实名认证
              ",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0
