具体地点,职位名称,工资,福利tag,公司名称,公司标签,其他标签,岗位要求,是否为推广,会员商家,发布时间,抓取时间,平台,浏览人数,申请人数,招聘人数,公司人数,学历限制,经验限制,工作地址,职位描述,公司介绍,公司行业,认证类别,公司招聘职位总数,公司类别
朝阳 | CBD,银行保安八小时住公寓六千可预支,4500-6000元/月,加班补助|交通补助|周末双休|年底双薪|包吃|包住|五险一金|,京卫圣明保总特保公司,,,经验不限 · 学历不限 · 招若干人,推广广告,,,2025/04/02 12:10:02,赶集,,,招若干人,1000人以上,学历不限,经验不限,北京朝阳中海广场,公司直招，不是中介，不收取任何费用，工资每月25号银行打卡，工资准时，到月就发，绝不拖欠，当天面试就可以安排单位，安排食宿，服装被褥免费提供，免费无线网，空调，24小时热水。公司人性化管理，没钱的队长会帮忙买洗漱用品，做满一个礼拜可预支工资，广大求职者可以放心前来应聘。公司规模大，公司自己300多个单位可供选择，无论你想找什么样的单位岗位都可以安排，北京各区域都有单位，也可以就近安排。工作单位有；大厦，商场，写字楼，小区，售楼部，酒店，公寓，园区，别墅小区，医院，公园，等保安单位。工作岗位有；坐岗，巡逻岗，形象岗，室内室外岗都有，可以自由选择。每月2到4天的带薪休息工作时间；8-12小时工资；每月3500至6500米不等，保安工资是根据身高年龄定工资，说出你的身高年龄，我会给你安排个您满意的工作。公司规模一万多人，升职空间大，望广大朋友选择正规公司，保证你们的工资，给你们提供一个良好的平台，才是重要的。,"北京京卫圣明保安服务有限公司,成立日期:2015年07月27日,创建于北京市,企业注册地址:北京市昌平区北七家镇平西府村70号(供销社)5幢511",人力资源服务,"
                普通企业认证
              
                高级实名认证
              ",,
西城,保安员：坐岗保安轻松包吃住,4500-5500元/月,包吃包住环境好|包住|包吃|,北京蓝剑保安服务有限公司,,,经验不限 · 学历不限 · 招30人,推广广告,,,2025/04/02 12:10:05,赶集,,,招30人,1000人以上,学历不限,经验不限,北京西城北京市西城区图书馆北馆北京八中,任职要求年龄在18-50岁之间，身体健康，无不良记录；具有良好的沟通能力和应变能力；有责任心，能适应轮班工作；初中及以上学历，退伍军人优先考虑。,"北京蓝剑保安服务有限公司,成立日期:2022年01月13日,创建于北京市,经营范围:门卫、巡逻、守护；建设工程设计；货物进出口；进出口代理；技术进出口；机动车公共停车场服务；安全防护系统集成；汽车租赁（不含九座以上客车）；承办展览展示活动；技术开发；技术咨询；技术转让；技术服务；组织文化艺术交流活动（不含营业性演出）；家庭劳务服务；经济贸易咨询；企业管理；企业策划；市场调查；保洁服务；家庭服务；装卸搬运和仓储业；租赁机械设备；物业管理；汽车装饰（不含洗车服务）；摄影服务；销售通讯设备、计算机软件及辅助设备、电子产品、机械设备、服装、安全技术防范产品。（市场主体依法自主选择经营项目，开展经营活动；建设工程设计、货物进出口、进出口代理、技术进出口以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,企业注册地址:北京市平谷区平谷镇新平东路7号1号楼四层;诚挚邀请您的加入！",其他行业,"
                普通企业认证
              
                高级实名认证
              ",,
海淀 | 交通大学,室内学校坐岗保安有月休4500-5000,3500-4000元/月,包吃|包住|,北京国锦保安服务有限公司北京文之豪分公司,,,经验不限 · 学历不限 · 招20人,,,,2025/04/02 12:10:07,赶集,,,招20人,100-499人,学历不限,经验不限,北京海淀高粱桥斜街13号院,学校保安，有保安证要求，年龄18--49周岁，身高168以上8小时，工资4000-4500上学放学需要站岗，其他时间门岗坐岗吃住在学校，吃学校食堂，住地上宿舍4人间,"北京国锦保安服务有限公司北京文之豪分公司,成立日期:2023年07月12日,创建于北京市,经营范围:许可项目：保安服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：日用百货销售；日用品销售；服装服饰零售；眼镜销售（不含隐形眼镜）；鞋帽零售；第二类医疗器械销售；软件开发；物业管理；企业管理；企业管理咨询；社会经济咨询服务；会议及展览服务；专业保洁、清洗、消毒服务；停车场服务；专业开锁服务；非居住房地产租赁；园林绿化工程施工；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,企业注册地址:北京市房山区卓秀北街8号院6号楼2层205;诚挚邀请您的加入！",其他行业,"
                普通企业认证
              
                高级实名认证
              ",,
丰台 | 东高地,【东高地】保安轻松自由直招,4500-5500元/月,包住|包吃|,北京华盾保安服务有限公司,,,经验不限 · 学历不限 · 招2人,,,,2025/04/02 12:10:08,赶集,,,招2人,1000人以上,学历不限,经验不限,北京丰台琅悦烟酒首开龙湖天琅店,大兴瀛海附近小区坐岗年龄：30—45岁身高：172以上，不穿保安服12个小时4500—5500早晚高峰期站会。其余都坐岗穿白衬衣黑裤子，黑皮鞋西服套装等。管2餐、住地下，住宿条件好，中央空调，洗澡等。要求：无前科、身材均匀、无不良嗜好，,"北京华盾保安服务有限公司,成立日期:2020年02月27日,创建于北京市,经营范围:门卫、巡逻、守护；劳务分包；公共关系服务；会议服务（不含食宿）；租赁安全技术防范产品；承办展览展示；劳务服务；技术咨询；技术服务；技术转让；家庭服务；清洁服务；机动车公共停车场管理；物业管理；汽车租赁；销售安全技术防范产品。（市场主体依法自主选择经营项目，开展经营活动；以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,企业注册地址:北京市大兴区金苑路23号院3号楼8层803室;诚挚邀请您的加入！",其他行业,"
                普通企业认证
              
                高级实名认证
              ",,
朝阳,保安吃自助餐的岗位住的跟家一样,5600-6800元/月,工作轻松|0费用入职|就近分配|包住|包吃|,北京华盾保安服务有限公司,,,经验不限 · 学历不限 · 招9人,,,,2025/04/02 12:10:10,赶集,,,招9人,1000人以上,学历不限,经验不限,北京朝阳东土城路9号院北京市朝阳区,！如有意向请投递简历！！北京信誉度前十企业！100多个项目点可：八到十二小时均有，岗位自选！！公司人事部时间联系您！！发薪准！可预支！管理人性化！岗位轻松！机不可失时不再来直属公司内部直招，非中介机构；无押金，无任何费用，免费提供工服被褥；不体检，，不培训，无实习，当天入职安排岗位，安排食宿。签订国家正式合同。绝不拖欠工资，真实可靠！！公司急招岗位一：简章..+..此岗位不合适，没关系往下看---------------------------------------------------------------------------------------------------------------------公司在招岗位类型：北京各大区域、工厂、商城别墅、高档小区、景区、写字楼、大厦，学校。商场、酒店、医院、小区、工地、别墅区、售楼处。工厂、公园、政府单位、机关单位-银行-ZF等..100多个安保项目；公司在招岗位有：坐岗-巡逻岗形象岗室内岗西服岗-保安大龄-保安日结-保安看库房-保安手机-可以看-保安看厂房-保安售楼处-岗位等工作要求：1、身高160cm以上，年龄18-55周岁，有无经验均可工作时间：8小时-12小时均有--八小时-2、身体健康，无家族病史，无不良前科记录-不用保安证-3、思想进步，工作认真4、学历和工作经历不限、5、对本职工作负责任，服从公司统一管理；---1、公司包吃住，免费提供四季服装、被褥。2、面试入职不收员工任何费用和押金（收取押金或任何费用请谨慎）3、宿舍2-6人标准间，干净整洁，24小时热水，提供免费无线网，标准工作餐。4、公司直招晋升空间大，表现好的队员可以晋升班队长、公司内部管理人员；公司秉承人性化管理可以根据自身条件自己选择，不合适可以调岗，工资照结。5：入职无需任何费用以及体检这个可以放心，欢迎大家前来考察！每日三餐，吃住条件优越，面试承诺工资等于实际所得工资.公司采取人性化管理，当天面试可直接上岗，面试当天太晚未能安排工作者可安排免费吃住。公司规模强大，东城区、西城区、崇文区、宣武区、朝阳区、海淀区、丰台区、石景山区、通州区、平谷区、顺义区、怀柔区、昌平区、门头沟区、房山区、大兴区、密云区、延庆区100多个个项目点可供选择可根据个人意愿就近分配，无论你找什么样的岗位，都能合适安排。。-------------------------------------------------------------------------------------------------我就是公司人事部！，发的招聘信息都是公司招人的！，工资准时发，入职直接到工作地点就行！欢迎咨询电话：没有任何费用.谢谢阅览如有问题随时打电话咨询,"北京华盾保安服务有限公司,成立日期:2020年02月27日,创建于北京市,经营范围:门卫、巡逻、守护；劳务分包；公共关系服务；会议服务（不含食宿）；租赁安全技术防范产品；承办展览展示；劳务服务；技术咨询；技术服务；技术转让；家庭服务；清洁服务；机动车公共停车场管理；物业管理；汽车租赁；销售安全技术防范产品。（市场主体依法自主选择经营项目，开展经营活动；以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,企业注册地址:北京市大兴区金苑路23号院3号楼8层803室;诚挚邀请您的加入！",其他行业,"
                普通企业认证
              
                高级实名认证
              ",,
昌平 | 城北,【城北】小区门卫室保安坐岗有空调,4500-5000元/月,无线网|24小时热水|空调|五险一金|包吃|交通补助|年底双薪|房补|包住|话补|加班补助|饭补|周末双休|,北京京卫圣明保安服务有限公司保总特保分公司,,,经验不限 · 学历不限 · 招8人,推广广告,,,2025/04/02 12:09:39,赶集,,,招8人,1000人以上,学历不限,经验不限,北京昌平北京市昌平医药药材有限公司,重要声明：公司岗位、不是中介，不收取任何费用，更不会压证件，有意者可来面试。当天安排岗位，安排食宿，长期干可提前预支工资，广大求职者可以放心前来应聘；工作单位：大厦，商场，写字楼，小区，别墅区，企业单位，国企央企等等。各个区域都有单位可就近分配，工资真实，准时发放，绝不拖欠，不收取任何费用，当天安排食宿。公司规模强大，多个合作单位，可以根据你的要求给你安排较合适你的岗位！要求：无前科，无案底，无纹身，有身份证、身体健康；工资：4000至5500元每月，年龄18至55周岁，身高160cm以上，免费无线网，24小时热水、空调宿舍，白夜班都有，根据你要的要求安排岗位！坐岗，巡逻岗，形象岗都有，室内室外都有，可以自己选择；带好本人的洗漱用品和随身行李，以及合法的二代身份证，服装被褥公司免费提供；公司升职空间大，望广大朋友选择正规公司，保证你们的工资，跟你们提供一个良好的发展平台，才是较重要的；,"北京京卫圣明保安服务有限公司保总特公司,成立日期:2023年12月20日,创建于北京市,经营范围:许可项目：保安服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：物业管理；家政服务；专业保洁、清洗、消毒服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,企业注册地址:北京市昌平区北七家镇王府温馨公寓37号楼1层2;诚挚邀请您的加入！",其他行业,"
                普通企业认证
              
                高级实名认证
              ",,
海淀 | 马连洼,高薪诚聘直招写字楼保安轻松干活快乐赚钱,3000-6000元/月,企业执照|包吃包住|就近分配|包住|包吃|饭补|,北京华盾保安服务有限公司,,,经验不限 · 学历不限 · 招6人,推广广告,,,2025/04/02 12:09:41,赶集,,,招6人,1000人以上,学历不限,经验不限,北京海淀曙光信息产业北京有限公司211,"如有意向请投递简历！！北京信誉度前十企业！100多个项目点可：就近分配家门口，岗位自选！！公司人事部时间联系您！！发薪准！可预支！管理人性化！岗位轻松！机不可失时不再来!-------------------------------------------------------------------------------------公司在招岗位类型：天津各大区域-小区保安-商城保安-售楼处保安-医院保安、学校保安、事业单位保安、停车场保安、办公楼保安、公园保安、旅游景点保安、工厂保安、写字楼保安等公司在招岗位有：坐岗巡逻岗形象岗室内岗西服岗-保安大龄-保安日结-保安看库房-保安手机-可以看-保安看厂房-保安售楼处-保安-保安八小时不限年龄-保安看门轻松-保安短暑假工-保安纯坐岗可玩手机-保安直直招。岗位等-------------------------------------------------------------------------公司年龄16周岁-55周岁，165身高包括以上身体健康，没有疾病。4:公司免费提供吃住，每日三餐，吃住条件优越,宿舍标准6-8人有浴室有空调5退伍军人，有相关经验优先。6:工资待遇，3500-4000-6000项目不同工资待遇入职无需任何费用以及体检这个可以放心，欢迎大家前来考察！每日三餐，吃住条件优越，面试承诺工资等于实际所得工资.公司采取人性化管理，当天面试可直接上岗，面试当天太晚未能安排工作者可安排免费吃住。公司规模强大。公司晋升空间大，表现好的队员可以晋升班队长、公司内部管理人员；公司秉承人性化管理可以根据自身条件自己选择，不合适可以调岗，工资照结。备注：带好个人洗漱用品随身行李，以及合法的身份有效证件，直接面试，不收取任何费用；公司承诺入职到离职不收取任何费用！您好：非常感谢您浏览本公司的招聘信息，所有岗位全部管吃管住，入职没有任何费用，入职满10天可预支生活费。直属公司内部直招，非中介机构；无押金，无任何费用，免费提供工服被褥；不体检，，不培训，无实习，当天入职安排岗位，安排食宿。签订国家正式合同。绝不拖欠工资，真实可靠！！！我就是公司人事部！，发的招聘信息都是公司招人的！，工资准时发，入职直接到工作地点就行！。没有任何费用，提醒大家谨防高薪招聘培训实习基本上都是骗子。天下没有不劳而获的收获，大家找工作的时候一定要擦亮双眼看看工资是不是符合市场招聘工作标准。欢迎咨询电话：没有任何费用.谢谢阅览如有问题随时打电话咨询.","北京华盾保安服务有限公司,成立日期:2020年02月27日,创建于北京市,经营范围:门卫、巡逻、守护；劳务分包；公共关系服务；会议服务（不含食宿）；租赁安全技术防范产品；承办展览展示；劳务服务；技术咨询；技术服务；技术转让；家庭服务；清洁服务；机动车公共停车场管理；物业管理；汽车租赁；销售安全技术防范产品。（市场主体依法自主选择经营项目，开展经营活动；以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,企业注册地址:北京市大兴区金苑路23号院3号楼8层803室;诚挚邀请您的加入！",其他行业,"
                普通企业认证
              
                高级实名认证
              ",,
北京,渠道销售专员：月可入1.2w,6000-12000元/月,饭补|,国盛中业（北京）环境技术有限公司,,,1年以下 · 大专以上学历 · 招若干人,推广广告,,,2025/04/02 12:09:43,赶集,,,招若干人,1-49人,大专以上学历,1年以下,北京市-丰台区-万柳桥甲3号宝隆大厦2-3层,岗位职责负责公司产品的推广与销售，通过有效的沟通技巧开拓新客户并维护老客户关系；执行销售策略，达成或超过季度年度业绩目标。任职要求1.高中以上学历，有销售经验者优先；2.具备良好的人际交往能力和客户服务意识，善于倾听客户需求，能独立完成销售流程；3.对市场动态敏锐，熟悉所在行业产品特性及竞争格局；4.如具备相应领域的专业资格证书（如直销证）将更佳；5.拥有驾驶执照，适应外勤出差，有一定的地理路线规划能力。福利待遇1.提供具有竞争力的底薪加提成制度，优秀表现有机会获得丰厚奖励；2.薪资结构透明，完善的晋升信道；3.定期团队建设活动以及专业的销售技能培训；4.弹性的工作时间和合理的休假安排以保证员工生活平衡。,"国盛中业（北京）环境技术有限公司,成立日期:2024年04月29日,创建于北京市,经营范围:一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；环境保护专用设备销售；包装专用设备制造；环保咨询服务；对外承包工程；水污染治理；大气污染治理；土壤污染治理与修复服务；固体废物治理；环境保护专用设备制造；环境监测专用仪器仪表制造；采矿行业高效节能技术研发；园林绿化工程施工；数据处理服务；计算机系统服务；噪声与振动控制服务；环境应急治理服务；节能管理服务；工程造价咨询业务；生态环境材料制造；环境应急技术装备销售；环境应急检测仪器仪表销售；工程管理服务；合同能源管理；物业管理；机械设备销售；会议及展览服务；专用化学产品销售（不含危险化学品）；软件开发；电气设备修理；电气设备销售；机械电气设备制造；环境卫生公共设施安装服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：建设工程勘察；建设工程施工；职业中介活动；城市生活垃圾经营 ；电气安装服务；燃气燃烧器具安装、维修。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,企业注册地址:北京市门头沟区石龙北路3号院1号楼16层1608;诚挚邀请您的加入！",其他行业,"
                普通企业认证
              
                高级实名认证
              ",,
海淀 | 白石桥,高薪招聘保安工作轻松吃住好,4500-6000元/月,包吃|包住|,北京京卫圣明保安服务有限公司,,,经验不限 · 学历不限 · 招10人,,,,2025/04/02 12:09:45,赶集,,,招10人,1000人以上,学历不限,经验不限,北京海淀腾达大厦西直门金隅腾达大厦,"自助餐年龄工资身高要求：49以下,175以上薪资：4500-6000食宿：管住+自助餐++站坐结合注：宿舍，空调，24小时浴室，干净卫生。面试地址：海淀区西直门金隅腾达大厦","北京京卫圣明保安服务有限公司,成立日期:2015年07月27日,创建于北京市,企业注册地址:北京市昌平区北七家镇平西府村70号(供销社)5幢511",其他行业,"
                普通企业认证
              
                高级实名认证
              ",,
海淀 | 双榆树,小区看监控巡逻保安包食宿,3500-6000元/月,宿舍有空调|24小时热水|房补|话补|饭补|交通补助|加班补助|年底双薪|包住|包吃|,中盛华宇（北京）保安服务有限公司,,,经验不限 · 学历不限 · 招9人,,,,2025/04/02 12:09:48,赶集,,,招9人,1000人以上,学历不限,经验不限,北京海淀中关村南小区,岗位职责负责小区内监控室的值班及巡逻工作，确保小区安全；及时发现并处理安全隐患，做好防火防盗工作；定期检查消防设施，确保其正常运行；与物业人员保持良好沟通，共同维护小区秩序。任职要求年龄在18-55岁之间，身体健康，史；退伍军人优先考虑；具备良好的沟通能力和团队协作精神；能够适应夜班工作，有责任心和服务意识；持有保安员职业资格证或保安员上岗证者优先。福利待遇提供食宿，包吃住；月薪3500-6000元，具体面议；提供专业技能培训机会，定期组织安全知识培训。,中盛华宇(北京)保安服务有限公司成立于2020年12月28日，注册地位于北京市石景山区古城大街(特钢公司厂内)北京国际汽车贸易服务园区F区26号五层512室，法定代表人为张武东。经营范围包括门卫、巡逻、守护。（市场主体依法自主选择经营项目，开展经营活动；门卫、巡逻、守护以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。,其他行业,"
                普通企业认证
              
                高级实名认证
              ",,
