具体地点,职位名称,工资,福利tag,公司名称,公司标签,其他标签,岗位要求,是否为推广,会员商家,发布时间,抓取时间,平台
"
                    北京-怀柔区-北房",日结200~轻松不累~南通大地,6000-8000元/月,,安心保 (安心保),,,"
                    经验要求：不限经验|
                    学历要求：不限",,,,2025/02/19 21:26:55,店长
"
                    北京-怀柔区-北房",轻松不累+手工活+线束厂,6000-8000元/月,,安心保 (安心保),,,"
                    经验要求：不限经验|
                    学历要求：不限",,,,2025/02/19 21:26:57,店长
"
                    北京-怀柔区-北房",包吃住！雁栖湖！南通大地,6000-8000元/月,,安心保 (安心保),,,"
                    经验要求：不限经验|
                    学历要求：不限",,,,2025/02/19 21:26:58,店长
"
                    北京-怀柔区-北房",包吃住/线束厂/纯白班,6000-8000元/月,,安心保 (安心保),,,"
                    经验要求：不限经验|
                    学历要求：不限",,,,2025/02/19 21:27:00,店长
"
                    北京-怀柔区-北房",手工活+雁栖湖+纯白班,6000-8000元/月,,安心保 (安心保),,,"
                    经验要求：不限经验|
                    学历要求：不限",,,,2025/02/19 21:27:01,店长
"
                    北京-怀柔区-北房",日结200/均薪8000以上/轻松不累,6000-8000元/月,,安心保 (安心保),,,"
                    经验要求：不限经验|
                    学历要求：不限",,,,2025/02/19 21:27:03,店长
"
                    北京-怀柔区-北房",包吃住+均薪8000以上+南通大地,6000-8000元/月,,安心保 (安心保),,,"
                    经验要求：不限经验|
                    学历要求：不限",,,,2025/02/19 21:27:04,店长
"
                    北京-怀柔区-北房",轻松不累|南通大地|手工活,6000-8000元/月,,安心保 (安心保),,,"
                    经验要求：不限经验|
                    学历要求：不限",,,,2025/02/19 21:27:06,店长
"
                    北京-怀柔区-北房",线束厂+包吃住+日结200,6000-8000元/月,,安心保 (安心保),,,"
                    经验要求：不限经验|
                    学历要求：不限",,,,2025/02/19 21:27:08,店长
"
                    北京-怀柔区-北房",包吃住+南通大地+均薪8000以上,6000-8000元/月,,安心保 (安心保),,,"
                    经验要求：不限经验|
                    学历要求：不限",,,,2025/02/19 21:27:09,店长
"
                    北京-怀柔区-北房",包吃住！日结200！轻松不累,6000-8000元/月,,安心保 (安心保),,,"
                    经验要求：不限经验|
                    学历要求：不限",,,,2025/02/19 21:27:11,店长
"
                    北京-怀柔区-北房",均薪8000以上/日结200/包吃住,6000-8000元/月,,安心保 (安心保),,,"
                    经验要求：不限经验|
                    学历要求：不限",,,,2025/02/19 21:27:13,店长
"
                    北京-怀柔区-北房",手工活！纯白班！线束厂,6000-8000元/月,,安心保 (安心保),,,"
                    经验要求：不限经验|
                    学历要求：不限",,,,2025/02/19 21:27:14,店长
"
                    北京-怀柔区-北房",南通大地/均薪8000以上/日结200,6000-8000元/月,,安心保 (安心保),,,"
                    经验要求：不限经验|
                    学历要求：不限",,,,2025/02/19 21:27:16,店长
"
                    北京-怀柔区-北房",手工活~轻松不累~纯白班,6000-8000元/月,,安心保 (安心保),,,"
                    经验要求：不限经验|
                    学历要求：不限",,,,2025/02/19 21:27:18,店长
"
                    北京-怀柔区-北房",包吃住/雁栖湖/日结200,6000-8000元/月,,安心保 (安心保),,,"
                    经验要求：不限经验|
                    学历要求：不限",,,,2025/02/19 21:27:19,店长
"
                    北京-怀柔区-北房",纯白班~包吃住~均薪8000以上,6000-8000元/月,,安心保 (安心保),,,"
                    经验要求：不限经验|
                    学历要求：不限",,,,2025/02/19 21:27:21,店长
"
                    北京-怀柔区-北房",手工活~均薪8000以上~南通大地,6000-8000元/月,,安心保 (安心保),,,"
                    经验要求：不限经验|
                    学历要求：不限",,,,2025/02/19 21:27:22,店长
"
                    北京-怀柔区-北房",雁栖湖~手工活~包吃住,6000-8000元/月,,安心保 (安心保),,,"
                    经验要求：不限经验|
                    学历要求：不限",,,,2025/02/19 21:27:24,店长
"
                    北京-怀柔区-北房",均薪8000以上/轻松不累/日结200,6000-8000元/月,,安心保 (安心保),,,"
                    经验要求：不限经验|
                    学历要求：不限",,,,2025/02/19 21:27:26,店长
"
                    北京-怀柔区-北房",轻松不累|南通大地|日结200,6000-8000元/月,,安心保 (安心保),,,"
                    经验要求：不限经验|
                    学历要求：不限",,,,2025/02/19 21:26:20,店长
"
                    北京-怀柔区-北房",日结200+南通大地+包吃住,6000-8000元/月,,安心保 (安心保),,,"
                    经验要求：不限经验|
                    学历要求：不限",,,,2025/02/19 21:26:22,店长
